Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201308,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,659837,False,1.0
201308,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,629003,False,2.0
201307,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,625885,False,3.0
201307,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,622871,False,4.0
201310,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,573619,False,5.0
201310,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,558030,False,6.0
201708,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,557002,False,7.0
201312,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,556208,False,8.0
201312,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,553433,False,9.0
201309,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,548374,False,10.0
201309,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,544302,False,11.0
201708,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,543516,False,12.0
201707,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,538037,False,13.0
201311,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,522199,False,14.0
201707,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,511281,False,15.0
201311,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,506882,False,16.0
201401,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,482915,False,17.0
201401,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,473688,False,18.0
201710,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,473183,False,19.0
201706,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,472742,False,20.0
201608,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,469999,False,21.0
201706,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,466748,False,22.0
201710,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,465405,False,23.0
201607,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,457074,False,24.0
201709,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,454710,False,25.0
201709,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,451656,False,26.0
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,443656,False,27.0
201711,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,442322,False,28.0
201107,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,437967,False,29.0
201608,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,436976,False,30.0
201712,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,435510,False,31.0
201711,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,434683,False,32.0
200606,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,433650,False,33.0
201712,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,430593,False,34.0
201108,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,430111,False,35.0
201107,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,428431,False,36.0
201008,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,428141,False,37.0
201108,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,424817,False,38.0
200907,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,423758,False,39.0
200908,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,423601,False,40.0
200908,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,422989,False,41.0
201705,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,422676,False,42.0
201106,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,422203,False,43.0
200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,421802,False,44.0
201607,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,421784,False,45.0
201008,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,420700,False,46.0
200508,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,420430,False,47.0
200907,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,420420,False,48.0
200708,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,419569,False,49.0
200706,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,417465,False,50.0
201007,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,416752,False,51.0
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,414466,False,52.0
201006,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,413640,False,53.0
201106,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,411250,False,54.0
201606,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,410861,False,55.0
201803,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,410420,False,56.0
201207,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,409257,False,57.0
201610,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,409218,False,58.0
201010,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,409190,False,59.0
201007,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,408291,False,60.0
200707,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,406700,False,61.0
200708,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,406143,False,62.0
201606,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,406075,False,63.0
200607,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,405636,False,64.0
201705,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,405132,False,65.0
201110,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,404970,False,66.0
201010,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,404967,False,67.0
201208,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,404838,False,68.0
200606,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,404815,False,69.0
201005,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,Terminal 3,F,404581,False,70.0
201207,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,404310,False,71.0
200906,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Enplaned,Other,Terminal 3,F,403640,False,72.0
